id,time,ppg_signal,heart_rate,avg_temp,max_temp,min_temp,thermal_diff,velocity_mean,velocity_peak,flow_direction
154,3.06,0.586,68.0,36.42,37.08,35.910000000000004,1.17,0.68,0.87,0
155,3.08,0.592,75.4,37.63,38.07,37.81,0.26,0.62,0.82,0
156,3.1,0.545,80.3,37.36,37.99,36.92,1.07,0.9,1.05,1
157,3.12,0.678,69.5,36.48,37.12,36.16,0.96,0.41,0.61,0
158,3.14,0.611,71.9,36.26,36.93,35.44,1.49,0.49,0.76,1
159,3.16,0.531,77.5,36.7,36.970000000000006,36.68,0.29,0.36,0.58,0
160,3.18,0.627,81.1,36.75,37.11,36.35,0.76,0.57,0.78,1
161,3.2,0.548,67.5,36.97,37.25,36.95,0.3,0.34,0.45,0
162,3.22,0.64,74.2,36.41,36.99,36.12,0.87,0.78,1.02,1
163,3.24,0.662,76.4,37.17,37.64,37.11,0.53,0.76,0.96,0
164,3.26,0.566,74.5,36.93,37.54,36.07,1.47,0.58,0.75,1
165,3.28,0.658,62.6,36.63,37.25,36.3,0.95,0.45,0.68,1
166,3.3,0.634,77.5,36.44,36.49,36.08,0.41,0.37,0.53,1
167,3.32,0.657,82.6,36.71,37.38,36.32,1.06,0.49,0.72,0
168,3.34,0.714,75.6,36.39,36.98,36.22,0.76,0.69,0.95,1
169,3.36,0.61,69.8,36.83,37.16,36.22,0.94,0.48,0.69,0
170,3.38,0.588,72.4,36.84,37.31,36.31,1.0,0.89,1.07,0
171,3.4,0.584,83.8,36.93,37.31,36.35,0.96,0.82,0.99,0
172,3.42,0.591,79.5,37.68,38.2,37.52,0.68,0.6,0.82,1
173,3.44,0.631,78.2,36.73,37.06,36.1,0.96,0.53,0.71,0
174,3.46,0.655,76.8,37.3,37.8,36.7,1.1,0.51,0.83,0
175,3.48,0.655,71.7,36.91,37.31999999999999,36.56,0.76,0.84,0.97,0
176,3.5,0.686,74.0,36.68,36.99,36.1,0.89,0.5,0.69,0
177,3.52,0.648,74.6,36.74,37.18,36.29,0.89,0.74,0.95,0
178,3.54,0.723,77.7,36.77,37.71,36.690000000000005,1.02,0.6,0.81,0
179,3.56,0.64,82.5,36.94,37.2,36.58,0.62,0.71,0.88,1
180,3.58,0.792,80.6,36.32,36.67,36.02,0.65,0.48,0.74,1
181,3.6,0.691,67.9,36.07,36.34,35.65,0.69,0.55,0.78,0
182,3.62,0.62,76.1,37.13,37.42,36.53,0.89,0.6,0.84,0
183,3.64,0.612,78.7,37.25,37.81,37.18,0.63,0.51,0.68,0
184,3.66,0.692,78.1,37.17,37.71,36.86,0.85,0.79,0.97,1
185,3.68,0.66,71.9,36.88,37.28,36.64,0.64,0.49,0.71,1
186,3.7,0.71,89.6,37.18,37.79,36.94,0.85,0.51,0.65,1
187,3.72,0.701,68.6,37.16,37.72,36.92,0.8,0.8,1.03,1
188,3.74,0.677,69.6,37.19,37.56,36.78,0.78,0.77,0.96,1
189,3.76,0.641,76.2,36.37,36.46,35.87,0.59,0.84,1.09,1
190,3.78,0.61,85.6,36.25,36.82,35.78,1.04,0.31,0.49,0
191,3.8,0.667,70.8,36.61,37.04,36.17,0.87,0.63,0.92,1
192,3.82,0.735,73.7,36.79,37.19,36.27,0.92,0.61,0.83,0
193,3.84,0.705,80.4,36.68,36.99,35.8,1.19,0.52,0.75,1
194,3.86,0.635,74.9,35.86,36.41,35.43,0.98,0.65,0.82,0
195,3.88,0.709,73.3,37.66,38.13,37.06,1.07,0.55,0.76,0
196,3.9,0.723,77.8,36.66,37.01,36.06999999999999,0.94,0.62,0.79,0
197,3.92,0.662,76.4,36.89,37.04,36.13,0.91,1.11,1.23,1
198,3.94,0.717,80.2,37.42,38.03,36.91,1.12,0.65,0.84,0
199,3.96,0.715,81.5,35.63,36.150000000000006,35.400000000000006,0.75,0.65,0.91,0
200,3.98,0.657,76.5,36.54,36.99,36.08,0.91,0.72,0.92,0
201,4.0,0.735,76.5,36.61,36.48,36.16,0.32,0.63,0.82,1
202,4.02,0.748,76.1,36.63,37.02,36.07,0.95,0.44,0.62,1
203,4.04,0.777,77.4,36.71,37.06,36.48,0.58,0.35,0.66,1
204,4.06,0.778,75.3,37.52,37.8,36.870000000000005,0.93,0.6,0.83,0
205,4.08,0.66,75.0,37.14,37.69,36.74,0.95,0.56,0.68,1
206,4.1,0.684,81.0,37.28,37.82,36.71,1.11,0.31,0.48,0
207,4.12,0.76,82.6,36.82,37.31,36.36,0.95,0.84,1.02,0
208,4.14,0.762,67.5,36.1,36.71,35.68,1.03,0.62,0.78,1
209,4.16,0.765,75.1,35.76,35.96,35.309999999999995,0.65,0.82,1.02,1
210,4.18,0.935,71.6,36.04,36.35,35.51,0.84,0.27,0.44,1
211,4.2,0.773,73.4,36.98,37.38999999999999,36.19,1.2,0.82,0.99,1
212,4.22,0.804,77.0,36.82,37.1,36.82,0.28,0.53,0.74,0
213,4.24,0.798,78.3,36.69,37.24,36.18,1.06,0.79,0.91,1
214,4.26,0.785,74.4,36.62,36.92,36.21,0.71,0.63,0.72,1
215,4.28,0.739,65.4,37.81,38.47,37.45,1.02,0.67,0.93,1
216,4.3,0.796,70.2,36.39,36.6,36.46,0.14,0.67,0.91,1
217,4.32,0.722,79.5,37.26,38.09,36.74,1.35,0.54,0.76,0
218,4.34,0.751,61.3,36.8,37.61,36.42,1.19,0.5,0.72,0
219,4.36,0.741,80.9,36.77,37.150000000000006,36.540000000000006,0.61,0.55,0.74,1
220,4.38,0.772,77.6,37.39,38.02,36.98,1.04,0.38,0.73,1
221,4.4,0.886,81.6,37.53,37.85,37.19,0.66,0.53,0.74,0
222,4.42,0.68,74.0,36.68,37.28,36.63,0.65,0.5,0.83,0
223,4.44,0.81,64.7,37.2,37.56,36.78,0.78,0.38,0.68,1
224,4.46,0.698,77.2,36.98,37.12,36.46,0.66,0.67,0.89,1
225,4.48,0.757,81.4,36.8,36.49,36.51,-0.02,0.6,0.79,0
226,4.5,0.838,79.6,36.9,37.25,36.45,0.8,0.64,0.84,0
227,4.52,0.789,71.7,36.46,36.92,36.04,0.88,0.7,0.88,1
228,4.54,0.734,75.4,36.65,37.32,36.04,1.28,0.56,0.78,0
229,4.56,0.755,72.3,36.51,36.92,36.13,0.79,0.46,0.69,1
230,4.58,0.827,70.9,37.25,37.85,36.69,1.16,0.65,0.79,0
231,4.6,0.759,79.8,36.75,37.06,36.41,0.65,0.16,0.49,0
232,4.62,0.809,69.0,36.15,36.48,35.36,1.12,0.58,0.74,1
233,4.64,0.803,70.5,36.44,37.05,36.13,0.92,0.71,0.78,0
234,4.66,0.77,69.5,35.2,35.11,34.940000000000005,0.17,0.76,0.96,1
235,4.68,0.912,67.5,36.55,36.95,36.17,0.78,0.52,0.66,0
236,4.7,0.839,75.7,36.82,37.14,36.57,0.57,0.26,0.46,0
237,4.72,0.709,80.8,36.73,37.4,36.58,0.82,0.21,0.41,1
238,4.74,0.822,74.1,37.79,38.08,37.24,0.84,0.7,0.92,0
239,4.76,0.781,67.5,37.09,37.59,37.3,0.29,0.55,0.8,1
240,4.78,0.86,79.2,37.07,37.65,36.81,0.84,0.9,1.05,0
241,4.8,0.78,83.4,35.98,36.08,35.849999999999994,0.23,0.39,0.57,1
242,4.82,0.816,71.8,36.62,36.99,36.19,0.8,0.65,0.88,0
243,4.84,0.849,72.6,36.56,36.870000000000005,36.6,0.27,0.85,1.02,1
244,4.86,0.869,77.6,36.41,37.0,35.9,1.1,0.63,0.74,1
245,4.88,0.768,83.1,36.4,36.94,35.87,1.07,0.36,0.59,1
246,4.9,0.814,72.4,35.9,36.25,35.83,0.42,1.02,1.19,1
247,4.92,0.809,68.3,36.16,36.35,35.72,0.63,0.84,1.01,1
248,4.94,0.802,78.2,37.24,37.85,36.74,1.11,0.57,0.78,0
249,4.96,0.925,79.0,36.73,37.12,36.13999999999999,0.98,0.72,0.92,0
250,4.98,0.86,75.0,36.55,36.63,36.44,0.19,0.72,0.97,0
251,5.0,0.778,72.2,36.8,36.89,36.72,0.17,0.7,0.84,1
252,5.02,0.89,80.0,37.38,37.870000000000005,36.68,1.19,0.39,0.7,1
253,5.04,0.952,77.6,36.8,36.94,36.56,0.38,0.65,0.78,0
254,5.06,0.9,71.2,37.07,37.84,36.78,1.06,0.82,1.0,0
255,5.08,0.774,75.2,36.38,36.59,35.85,0.74,0.68,0.84,0
256,5.1,0.828,68.2,36.49,36.89,36.32,0.57,0.66,0.86,1
257,5.12,0.918,78.4,36.98,37.41,36.63,0.78,0.52,0.72,0
258,5.14,0.821,73.7,37.75,38.0,37.17,0.83,0.46,0.67,1
259,5.16,0.881,72.8,37.51,37.46,37.39,0.07,0.36,0.57,1
260,5.18,0.899,74.8,37.09,37.53,36.790000000000006,0.74,0.71,0.98,1
261,5.2,0.816,75.2,36.88,37.13,36.71,0.42,0.57,0.78,1
262,5.22,0.861,79.5,37.5,37.92,37.25,0.67,0.4,0.67,1
263,5.24,0.704,78.0,37.2,37.580000000000005,36.56,1.02,0.75,0.86,0
264,5.26,0.817,74.2,35.65,36.1,34.97,1.13,0.51,0.6,1
265,5.28,0.858,78.8,36.27,36.98,35.82,1.16,0.47,0.68,1
266,5.3,0.81,77.0,36.97,37.26,36.46,0.8,0.53,0.75,1
267,5.32,0.956,72.9,35.91,36.22,35.41,0.81,0.57,0.74,0
268,5.34,0.805,74.4,36.35,36.42,36.08,0.34,0.67,0.87,0
269,5.36,0.856,74.3,36.45,36.81,36.0,0.81,0.47,0.72,1
270,5.38,0.887,77.5,36.67,37.15,36.53,0.62,0.75,0.98,0
271,5.4,0.954,73.2,36.66,36.96,36.45,0.51,0.67,0.85,1
272,5.42,0.812,73.0,36.66,37.13999999999999,36.28,0.86,0.52,0.73,0
273,5.44,0.944,84.8,37.21,37.57,37.02,0.55,0.58,0.82,0
274,5.46,0.888,79.7,36.67,36.81,36.52,0.29,0.54,0.68,1
275,5.48,0.84,71.2,36.61,37.07,36.35,0.72,0.61,0.77,1
276,5.5,0.914,77.9,36.13,36.49,35.5,0.99,0.83,1.08,1
277,5.52,0.903,75.6,37.31,37.73,36.6,1.13,0.54,0.65,0
278,5.54,0.865,77.0,36.46,36.75,36.07,0.68,0.63,0.78,0
279,5.56,0.9,75.7,36.26,36.53,35.739999999999995,0.79,0.5,0.64,1
280,5.58,0.879,80.9,36.91,37.34,36.62,0.72,0.68,0.93,0
281,5.6,0.906,76.7,36.42,36.77,36.43,0.34,0.64,0.79,0
282,5.62,0.935,74.7,36.54,37.28,36.32,0.96,0.8,1.04,0
283,5.64,0.983,80.2,36.93,37.49,36.59,0.9,0.48,0.66,0
284,5.66,0.843,76.2,36.64,37.15,36.21,0.94,0.7,0.99,1
285,5.68,1.014,75.6,37.96,38.32,37.58,0.74,0.79,1.0,1
286,5.7,0.811,76.6,36.76,36.75,36.42,0.33,0.53,0.78,1
287,5.72,0.903,74.5,37.11,37.35,36.82,0.53,0.58,0.8,0
288,5.74,0.941,75.0,35.83,36.1,35.36,0.74,0.63,0.81,1
289,5.76,0.928,72.1,36.37,36.72,36.24,0.48,0.56,0.76,0
290,5.78,0.884,71.2,36.26,36.65,35.7,0.95,0.63,0.83,0
291,5.8,0.906,70.0,36.32,36.85,36.04,0.81,0.7,0.88,1
292,5.82,0.894,68.0,37.01,37.46,36.2,1.26,0.58,0.82,1
293,5.84,0.891,70.6,37.32,37.95,36.98,0.97,0.58,0.91,0
294,5.86,0.964,74.1,36.97,37.31,36.67,0.64,0.64,0.85,0
295,5.88,0.941,75.5,36.69,37.14,36.4,0.74,0.54,0.78,1
296,5.9,0.89,73.6,36.48,36.95,36.17,0.78,0.55,0.78,1
297,5.92,0.971,63.2,37.36,37.81,36.84,0.97,0.47,0.54,1
298,5.94,0.943,82.9,37.84,38.5,37.45,1.05,0.59,0.81,1
299,5.96,0.97,80.4,36.87,37.43,36.27,1.16,0.67,0.89,0
300,5.98,0.962,77.2,37.27,37.41,36.78,0.63,0.56,0.7,0
301,6.0,0.891,84.5,36.97,37.35,36.56,0.79,0.48,0.59,1
302,6.02,0.905,70.1,37.18,37.58,36.71,0.87,0.59,0.81,1
303,6.04,0.972,84.4,36.22,37.05,35.58,1.47,0.66,0.94,1
304,6.06,0.967,70.2,36.56,36.89,36.03,0.86,0.62,0.8,1
305,6.08,0.937,76.2,37.0,37.2,36.54,0.66,0.93,1.11,0
306,6.1,0.945,68.6,37.41,37.9,36.93,0.97,0.5,0.82,0
307,6.12,1.004,75.1,36.39,36.89,36.22,0.67,0.58,0.82,0
308,6.14,0.912,76.9,35.78,36.17,34.870000000000005,1.3,0.72,0.86,1
309,6.16,0.971,74.2,36.55,36.91,36.04,0.87,0.5,0.66,1
310,6.18,0.934,78.6,37.31,37.900000000000006,36.78,1.12,0.89,1.2,0
311,6.2,0.935,75.5,36.01,36.24,35.62,0.62,0.6,0.77,1
312,6.22,1.002,72.4,36.21,36.54,36.27,0.27,0.68,0.85,1
313,6.24,0.99,72.2,36.88,37.18,36.53,0.65,0.6,0.83,1
314,6.26,0.99,79.1,36.74,37.36,36.32,1.04,0.75,0.94,1
315,6.28,1.016,71.7,37.1,37.56,36.86,0.7,0.44,0.66,0
316,6.3,0.953,79.6,36.19,36.38,35.96,0.42,0.84,1.05,1
317,6.32,0.987,81.1,36.64,36.85,36.31,0.54,0.63,0.82,0
318,6.34,0.939,66.7,37.4,38.17,36.85,1.32,0.7,0.96,0
319,6.36,0.972,80.7,36.2,36.82,35.550000000000004,1.27,0.49,0.63,1
320,6.38,0.95,85.3,37.54,38.11,37.11,1.0,0.65,0.86,0
321,6.4,0.963,76.3,36.27,36.67,35.980000000000004,0.69,0.45,0.62,1
322,6.42,0.989,78.0,37.22,37.92,36.89,1.03,0.78,1.06,0
323,6.44,0.919,80.2,36.61,36.79,36.19,0.6,0.41,0.6,1
324,6.46,1.066,73.6,36.23,36.78,35.79,0.99,0.62,0.92,1
325,6.48,0.912,75.9,36.55,36.86,36.06,0.8,0.54,0.72,1
326,6.5,0.903,68.4,37.07,37.42,36.76,0.66,0.37,0.58,1
327,6.52,1.023,75.7,36.8,37.35,36.29,1.06,0.46,0.71,1
328,6.54,1.005,77.5,37.36,37.73,36.87,0.86,0.67,0.82,1
329,6.56,0.998,77.6,37.52,37.830000000000005,37.2,0.63,0.47,0.75,0
330,6.58,0.999,80.3,36.21,36.51,36.15,0.36,0.5,0.7,0
331,6.6,0.968,71.1,36.17,36.17,35.95,0.22,0.66,0.88,0
332,6.62,0.925,72.3,36.15,36.7,35.44,1.26,0.74,0.97,0
333,6.64,0.974,84.5,36.35,36.55,36.29,0.26,0.7,0.9,1
334,6.66,0.938,74.2,37.35,38.120000000000005,36.690000000000005,1.43,0.59,0.75,0
335,6.68,1.021,76.0,37.08,37.42,37.03,0.39,0.63,0.83,0
336,6.7,0.966,74.7,36.53,37.19,36.28,0.91,0.62,0.72,1
337,6.72,0.933,70.9,36.79,36.83,36.46,0.37,0.44,0.57,1
338,6.74,0.959,83.1,37.5,38.05,36.74,1.31,0.64,0.83,1
339,6.76,0.997,72.4,37.75,38.35,37.34,1.01,0.44,0.72,1
340,6.78,0.949,69.4,36.93,37.59,36.57,1.02,0.69,0.97,0
341,6.8,0.937,72.7,35.47,35.56,35.26,0.3,0.62,0.87,1
